rank,name,city,country,category,lat,lng,place_id,formatted_address
22,Café de Barrio,,Argentina,South America,-31.4238479,-64.1856615,ChIJQeKnhY-iMpQRRjF-jKQ9qak,"Buenos Aires 601 Local 4, X5000IMM Córdoba, Argentina"
22,Momos Coffee Flagship Store,,Republic of Korea,Top 100,35.2192553,129.086493,ChIJV52dAJqTaDURx7ul1qYFsko,"20 Osige-ro, Geumjeong-gu, Busan, South Korea"
23,Three Monkeys Coffee Cusco,,Peru,South America,-13.5177829,-71.9749574,ChIJAaegWgvWbZERxik3jk3YIxM,"Pje. Pampa de la Alianza 474, Cusco 08002, Peru"
23,Monotono Specialty Coffee,,Peru,Top 100,-12.1402626,-77.0219778,ChIJf5I-TeW3BZERvrgs8C-9MhQ,"Jirón Fedelli 103, Barranco 15063, Peru"
24,Abstrakto Café de Especialidad,,Uruguay,South America,-34.9185261,-54.9416513,ChIJpym-37gadZURy9Feqm-ekSk,"Calderon de la Barca, 20000 Punta del Este, Departamento de Maldonado, Uruguay"
24,Ult Coffee,,Japan,Top 100,34.6877502,135.4950316,ChIJHbyDA_vmAGARrMki_gm2NRA,"1-chōme-11-6 Kyōmachibori, Nishi Ward, Osaka, 550-0003, Japan"
25,Neira Café Lab,,Peru,South America,-12.1169774,-77.0398428,ChIJRZHCeTvIBZERSLmJgVfl7yY,"Ca. Enrique Palacios 1074, Miraflores 15074, Peru"
25,El Injerto,,Guatemala,Top 100,14.5881773,-90.52142450000001,ChIJy9LGqeCjiYURxwBWZq_Ttb8,"9 Calle 1515, Cdad. de Guatemala 01013, Guatemala"
26,Café Local,"Villarrica, Chile",Chile,South America,-39.27974529999999,-72.225757,ChIJ20K7QyNiFJYR9EfoV9UWTQU,"General Urrutia 630, 4931458 Villarrica, Araucanía, Chile"
26,Three Monkeys Coffee,,Peru,Top 100,-13.5177829,-71.9749574,ChIJAaegWgvWbZERxik3jk3YIxM,"Pje. Pampa de la Alianza 474, Cusco 08002, Peru"
27,Tasta Café,,Peru,South America,-13.3545463,-70.3483682,ChIJG1D289V9ZZERZl9C4gWaKQs,"JMR2+5HH, Carr. Interoceánica 28, Limapampa 21260, Peru"
27,Proud Mary Coffee,,Australia,Top 100,-37.8023383,144.9851717,ChIJ6f2VOeBC1moRMzJudEH_BQs,"172 Oxford St, Collingwood VIC 3066, Australia"
28,Oso Café,,Peru,South America,-16.3968981,-71.5356616,ChIJMYNLkVBKQpER71GBgsPIP3I,"Cl. San Francisco 217, Arequipa 04001, Peru"
28,Koffee Mameya Kakeru,"Tokyo, Japan",Japan,Top 100,35.6764629,139.8041913,ChIJS47TehqJGGARHdSdLdci5L4,"2-chōme-16-14 Hirano, Koto City, Tokyo 135-0023, Japan"
29,Insignia Coffee,,Colombia,South America,4.4358149,-75.2132865,ChIJTzlpL_LFOI4RmoXkOE4Wrds,"Cra. 5 # 41-16, Ibagué, Tolima, Colombia"
29,Coffee Anthology,"Brisbane, Australia",Australia,Top 100,-27.4704616,153.0280493,ChIJw3MRaBtakWsRo-BawYnuu70,"155 Charlotte St, Brisbane City QLD 4000, Australia"
30,Alquimia Specialty Coffee Shop,,Bolivia,South America,-17.7602375,-63.19810939999999,Eio2UlEyK1dRMiwgU2FudGEgQ3J1eiBkZSBsYSBTaWVycmEsIEJvbGl2aWEiJjokCgoNuQBq9RXau1TaEAsaFAoSCWMawKcc6PGTERthZ6RTCotc,"6RQ2+WQ2, Santa Cruz de la Sierra, Bolivia"
30,7g Roaster,,Portugal,Top 100,41.13695,-8.61402,ChIJXVSKr99kJA0R0SDEIvQdji0,"R. de França 52, 4400-174 Vila Nova de Gaia, Portugal"
31,Antaqa Café,,Peru,South America,-13.1589265,-74.2235208,ChIJ-wxIC_R9EpERTavTK9l4Wdk,"Jirón Tres Máscaras 510, Ayacucho 05003, Peru"
31,Espresso Alchemy,,China,Top 100,22.3008171,114.1721995,ChIJz3I7OewABDQRKfpX9szTycI,"Shop 113B, 1/F, Mira Place 1, 132 Nathan Rd, Tsim Sha Tsui, Hong Kong"
